text,target_group,factual?,ingroup_effect,lewd,framing,predicted_group,stereotyping,intent,toxicity_ai,toxicity_human,predicted_author,actual_method
this statement indicates that black men are seen as savages or animals compared to white men,black/african-american folks,opinion,doesn't use in-group language,doesn't contain lewd content,moral,the text directly references black/african-american folks,doesn't use positive stereotyping,5.0,5.0,5.0,human,topk
the only good thing that can be said about the natives is that at least they are better than the blacks,native american/indigenous folks,disagreement,doesn't use in-group language,doesn't contain lewd content,moral,the text directly references native american/indigenous folks,doesn't use positive stereotyping,5.0,5.0,5.0,human,cbs
disabled children should not be allowed to go to mainstream schools.,folks with physical disabilities,neither factual nor opinion,doesn't use in-group language,doesn't contain lewd content,solution,the text directly references folks with physical disabilities,doesn't use positive stereotyping,3.0,4.333333333333333,4.333333333333333,human,cbs
How do you feed a drooling disabled? Just open the cage door and throw him in.,folks with physical disabilities,neither factual nor opinion,doesn't use in-group language,doesn't contain lewd content,solution,the text directly references folks with physical disabilities,doesn't use positive stereotyping,5.0,5.0,5.0,human,human
" if the discussion is for the sake of the greater black community rather than for you, quit trying to hyper-centrally control it",black/african-american folks,neither factual nor opinion,doesn't use in-group language,doesn't contain lewd content,disagreement,the text directly references black/african-american folks,doesn't use positive stereotyping,2.6666666666666665,2.6666666666666665,2.6666666666666665,human,TopK
"why do you have to come to america, you should stay in your own country and fight for your freedom, not come to america",middle eastern folks,opinion,doesn't use in-group language,doesn't contain lewd content,moral,the text indirectly references middle eastern folks,doesn't use positive stereotyping,4.0,4.0,4.333333333333333,human,cbs
chinese are always outsmarting each other to get their spot at the top,chinese folks,opinion,doesn't use in-group language,doesn't contain lewd content,moral,the text directly references chinese folks,doesn't use positive stereotyping,3.6666666666666665,3.6666666666666665,3.6666666666666665,human,topk
" there is no such thing as racism against white people, but there is such thing as racism against black people, but there is no such thing as racism",asian folks,neither factual nor opinion,doesn't use in-group language,doesn't contain lewd content,cause,"['the text directly references asian folks', 'it is unclear who is referenced', 'the text directly references asian folks']",maybe uses positive stereotyping,3.0,2.6666666666666665,3.0,ai,cbs
" even though they have been in the new world longer than any other group of people, they have nothing to show for it except for teepees",native american/indigenous folks,opinion,doesn't use in-group language,doesn't contain lewd content,moral,"['the text directly references native american/indigenous folks', 'the text directly references native american/indigenous folks', 'the text indirectly references native american/indigenous folks']",doesn't use positive stereotyping,4.666666666666667,4.666666666666667,4.666666666666667,human,cbs
"A Jewish boy asks his father for $50. The father replies, ""$40, what do you need $30 for?""",jewish folks,neither factual nor opinion,doesn't use in-group language,doesn't contain lewd content,moral,the text directly references jewish folks,doesn't use positive stereotyping,3.333333333333333,3.6666666666666665,3.333333333333333,human,human
the ways in which the conversation about political correctness has created a narrative of victimhood and grievance mongering for the majority of white americans,black/african-american folks,opinion,doesn't use in-group language,doesn't contain lewd content,disagreement,"['the text directly references black/african-american folks', 'it is unclear who is referenced', 'the text indirectly references black/african-american folks']",doesn't use positive stereotyping,2.6666666666666665,3.0,3.0,human,TopK
"i dont have a problem with legal immigration, its the ILLEGALS that i have a problem with.",mexican folks,disagreement,doesn't use in-group language,doesn't contain lewd content,moral,the text directly references mexican folks,doesn't use positive stereotyping,4.0,4.0,4.0,human,cbs
Muslim women are so underprivileged They aren't allowed to fly planes especially when the twins are collapsing from the heat,muslim folks,neither factual nor opinion,doesn't use in-group language,doesn't contain lewd content,moral,the text directly references muslim folks,doesn't use positive stereotyping,5.0,5.0,5.0,human,human
Islam is cancer and we keep importing more of it into this country.....but at least we have our cute little #NYCStrong hashtag.,muslim folks,neither factual nor opinion,doesn't use in-group language,doesn't contain lewd content,cause,the text directly references muslim folks,doesn't use positive stereotyping,5.0,5.0,5.0,human,human
"the only reason you are so smart in math is because of your calculator, you are not really good at math, you just have a calculator",chinese folks,disagreement,doesn't use in-group language,doesn't contain lewd content,,it is unclear who is referenced,doesn't use positive stereotyping,2.333333333333333,2.6666666666666665,2.6666666666666665,human,cbs
"A white male toddler needs to have its head smashed by a hammer because its a rapistBut every nigger and a spic can rape a newborn in the ass and be seen as a deity for it",latino/hispanic folks,neither factual nor opinion,doesn't use in-group language,contains lewd content,disagreement,the text directly references latino/hispanic folks,doesn't use positive stereotyping,5.0,5.0,5.0,ai,human
"if you are a woman and you wear a headscarf, then you are a slave to your husband and you have no right to speak",middle eastern folks,opinion,doesn't use in-group language,doesn't contain lewd content,moral,"['the text indirectly references middle eastern folks', 'the text directly references middle eastern folks', 'the text directly references middle eastern folks']",doesn't use positive stereotyping,5.0,5.0,5.0,human,cbs
Reminder: it is at the very least Not any more difficult for an actual deformed person to find a partner than a conventional but non-attractive one,folks with physical disabilities,neither factual nor opinion,doesn't use in-group language,doesn't contain lewd content,cause,"['the text indirectly references folks with physical disabilities', 'the text directly references folks with physical disabilities', 'the text directly references folks with physical disabilities']",doesn't use positive stereotyping,1.6666666666666667,2.6666666666666665,2.6666666666666665,human,human
women should all be submissive to their husbands and do as they say,women,neither factual nor opinion,doesn't use in-group language,doesn't contain lewd content,solution,the text directly references women,doesn't use positive stereotyping,5.0,5.0,5.0,human,cbs
"women already have the right to vote, what more do they need?",women,neither factual nor opinion,doesn't use in-group language,doesn't contain lewd content,moral,the text directly references women,doesn't use positive stereotyping,4.333333333333333,4.333333333333333,4.333333333333333,human,cbs
we do not need to mention trans people in an article about lgbtq+ issues,lgbtq+ folks,neither factual nor opinion,doesn't use in-group language,doesn't contain lewd content,solution,"['the text directly references lgbtq+ folks', 'the text indirectly references lgbtq+ folks', 'the text directly references lgbtq+ folks']",doesn't use positive stereotyping,4.333333333333333,4.0,4.333333333333333,human,topk
"in order to keep the peace, it is necessary for the white man to be in charge   ",black/african-american folks,neither factual nor opinion,doesn't use in-group language,doesn't contain lewd content,solution,"['the text directly references black/african-american folks', 'the text indirectly references black/african-american folks', 'the text indirectly references black/african-american folks']",doesn't use positive stereotyping,3.6666666666666665,4.333333333333333,4.666666666666667,human,cbs
"Helen Keller walked into a bar and then a chair, and then a table",folks with physical disabilities,neither factual nor opinion,doesn't use in-group language,doesn't contain lewd content,moral,"['the text indirectly references folks with physical disabilities', 'the text indirectly references folks with physical disabilities', 'the text directly references folks with physical disabilities']",doesn't use positive stereotyping,4.666666666666667,4.333333333333333,4.333333333333333,human,human
All I want for Christmas is an absolute elimination of Islam in the western world.,muslim folks,opinion,doesn't use in-group language,doesn't contain lewd content,solution,the text directly references muslim folks,doesn't use positive stereotyping,5.0,5.0,5.0,human,human
america is a christian nation and should stay that way,muslim folks,neither factual nor opinion,doesn't use in-group language,doesn't contain lewd content,moral,"['it is unclear who is referenced', 'the text indirectly references muslim folks', 'the text indirectly references muslim folks']",doesn't use positive stereotyping,4.333333333333333,4.666666666666667,4.666666666666667,human,cbs
why do we have to be so politically correct all the time and not be able to say what we really feel about the illegal immigrants coming into this country,mexican folks,neither factual nor opinion,doesn't use in-group language,doesn't contain lewd content,cause,"['the text directly references mexican folks', 'the text indirectly references mexican folks', 'the text indirectly references mexican folks']",doesn't use positive stereotyping,3.333333333333333,3.0,3.333333333333333,human,cbs
" The typical white person, for example, is a [derogatory word for black person]. He can be objectively identified by his slicked back hair",mexican folks,neither factual nor opinion,doesn't use in-group language,doesn't contain lewd content,moral,"['the text references white folks', 'the text references black folks, white folks', 'the text directly references mexican folks']",doesn't use positive stereotyping,3.6666666666666665,3.6666666666666665,3.6666666666666665,ai,topk
